"BusinessEntityID","DepartmentID","ShiftID"
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
8,6,1
12,2,1
16,5,1
17,4,1
22,4,1
26,8,1
27,7,1
28,7,1
32,7,1
33,7,1
40,7,3
42,7,3
44,7,3
48,7,1
49,7,1
50,7,1
51,7,1
52,7,1
53,7,1
55,7,3
58,7,3
59,7,3
62,7,2
70,7,2
72,7,3
73,7,3
78,7,2
87,7,3
93,7,2
94,7,2
95,7,2
102,7,2
108,7,1
109,7,1
110,7,1
111,7,1
113,7,1
122,15,2
123,15,2
124,15,3
128,7,3
129,7,3
135,7,1
146,7,2
147,7,2
153,7,2
154,7,2
161,7,1
167,7,1
168,7,1
169,7,1
170,7,1
181,7,3
182,7,3
187,7,2
188,7,2
193,7,1
194,7,1
195,7,1
196,7,1
197,7,1
206,7,3
207,7,3
212,13,1
216,13,1
218,12,3
222,8,1
228,14,1
235,9,1
239,9,1
240,9,1
242,10,1
249,10,1
263,11,1
265,11,2
272,11,1
